"name","side","status","loader","minecraft","source","filename_hint","notes"
"HBM's Nuclear Tech Mod: Community Edition","common","required","Forge","1.12.2","GitHub/CurseForge","NTM-CE-*.jar or 2.5.0.2 release","Primary HBM candidate; do not install with other HBM base forks"
"Hbm's Nuclear Tech Mod Extended Edition","common","candidate","Forge","1.12.2","GitHub/CurseForge","NTM-Extended-1.12.2-3.0.3.jar","Fallback HBM candidate; do not install with CE"
"Just Enough Items","client","required","Forge","1.12.2","CurseForge/Modrinth","jei_1.12.2-*.jar","Recipes and item lookup"
"The One Probe","common","recommended","Forge","1.12.2","CurseForge/Modrinth","theoneprobe-1.12-*.jar","Block and entity inspection"
"Applied Energistics 2","common","recommended","Forge","1.12.2","CurseForge/Modrinth","appliedenergistics2-rv6-*.jar","Storage and automation"
"Storage Drawers","common","recommended","Forge","1.12.2","CurseForge/Modrinth","StorageDrawers-1.12.2-*.jar","Bulk storage"
"Iron Chests","common","recommended","Forge","1.12.2","CurseForge/Modrinth","ironchest-1.12.2-*.jar","Simple storage"
"Immersive Engineering","common","recommended","Forge","1.12.2","CurseForge/Modrinth","ImmersiveEngineering-*.jar","Industrial tech; balance review needed"
"FoamFix","common","recommended","Forge","1.12.2","CurseForge","foamfix-*.jar","Memory optimization; tune config"
"Chunk-Pregenerator","server","recommended","Forge","1.12.2","CurseForge/Modrinth","Chunk Pregenerator-*.jar","World pre-generation"
"Spark","server","recommended","Forge/Sponge","1.12.2","Modrinth/GitHub","spark-*.jar","Profiler; choose Forge or Sponge build"
"JourneyMap","client","recommended","Forge","1.12.2","CurseForge","journeymap-1.12.2-*.jar","Client map; configure allowed features"
"AppleSkin","client","recommended","Forge","1.12.2","CurseForge/Modrinth","AppleSkin-mc1.12-*.jar","Food HUD"
"Mouse Tweaks","client","recommended","Forge","1.12.2","CurseForge/Modrinth","MouseTweaks-*.jar","Inventory QoL"
"Controlling","client","recommended","Forge","1.12.2","CurseForge/Modrinth","Controlling-*.jar","Keybind search"
"Pam's HarvestCraft","common","recommended","Forge","1.12.2","CurseForge","Pam's HarvestCraft 1.12.2*.jar","Farming and cooking content; good fit for small survival server"
"Cooking for Blockheads","common","recommended","Forge","1.12.2","CurseForge/Modrinth","CookingForBlockheads_1.12.2-*.jar","Kitchen multiblocks and recipe UX for food-heavy packs"
"Spice of Life: Carrot Edition","common","recommended","Forge","1.12.2","CurseForge/Modrinth","solcarrot-1.12.2-*.jar","Increases max health for eating unique foods"
"DynmapForge","server","candidate","Forge","1.12.2","CurseForge/GitHub","Dynmap-*.jar","Browser map for Forge; configure low render rate and limited triggers"
"Minecraft Overviewer","external","candidate","Standalone","1.12.2","GitHub","overviewer","External static isometric map renderer; hourly cron, low server tick impact, modded blocks need testing"
"BlueMap","server","candidate","Sponge/Standalone","1.12.2","Modrinth/GitHub","BlueMap-*.jar","Beautiful 3D web map; 1.12.2 path may require Sponge/standalone testing"
"VintageFix","common","candidate","Forge","1.12.2","Modrinth/GitHub","vintagefix-*.jar","Modern 1.12.2 optimization; test instead of FoamFix, not blindly together"
"Phosphor","common","candidate","Forge","1.12.2","CurseForge/Modrinth","phosphor-forge-mc1.12.2-*.jar","Lighting engine optimization; test with HBM worldgen and tile entities"
"AI Improvements","server","recommended","Forge","1.12.2","CurseForge","AIImprovements-1.12-*.jar","Reduces mob AI overhead"
"Surge","common","candidate","Forge","1.12.2","CurseForge","Surge-1.12.2-*.jar","Startup and runtime optimizations; test with coremods"
"FastWorkbench","common","recommended","Forge","1.12.2","CurseForge/Modrinth","FastWorkbench-1.12.2-*.jar","Crafting performance optimization"
"FastFurnace","common","recommended","Forge","1.12.2","CurseForge/Modrinth","FastFurnace-1.12.2-*.jar","Furnace performance optimization"
"Clumps","common","recommended","Forge","1.12.2","CurseForge/Modrinth","Clumps-*.jar","Merges XP orbs, reduces entity load"
"TexFix","client","candidate","Forge","1.12.2","CurseForge","TexFix-*.jar","Client texture memory optimization"
"VanillaFix","client","recommended","Forge","1.12.2","CurseForge","VanillaFix-*.jar","Client crash handling and performance fixes"
"BetterFps","client","candidate","Forge","1.12.2","CurseForge","BetterFps-*.jar","Client FPS optimization; test against VintageFix/FoamFix set"
"Thermal Foundation","common","candidate","Forge","1.12.2","CurseForge","ThermalFoundation-*.jar","Use only if adding Thermal stack"
"Thermal Expansion","common","candidate","Forge","1.12.2","CurseForge","ThermalExpansion-*.jar","Balance against HBM progression"
"Thermal Dynamics","common","candidate","Forge","1.12.2","CurseForge","ThermalDynamics-*.jar","Balance against HBM logistics"
"Ender IO","common","candidate","Forge","1.12.2","CurseForge","EnderIO-1.12.2-*.jar","Powerful conduits; test balance"
"Mekanism","common","recommended","Forge","1.12.2","CurseForge/Modrinth","Mekanism-1.12.2-*.jar","Kept in pack plan; user research confirms compatibility with HBM CE"
"Galacticraft","common","candidate","Forge","1.12.2","Micdoodle8/GitHub","GalacticraftCore-*.jar","Large thematic expansion; test later"
"FTB Quests","common","recommended","Forge","1.12.2","CurseForge","FTBQuests-1.12.2-*.jar or FTBQuests-1.9.0.12.jar","Selected quest book for guided HBM progression"
"FTB Library","common","required-dependency","Forge","1.12.2","CurseForge","FTBLib-*.jar","Required dependency for FTB Quests on 1.12.2"
"Item Filters","common","required-dependency","Forge","1.12.2","CurseForge","ItemFilters-*.jar","Required/useful dependency for FTB Quests item filters"
"CraftTweaker","common","recommended-after-base","Forge","1.12.2","CurseForge","CraftTweaker2-1.12-*.jar","Recipe fixes and progression control after base modlist stabilizes"
"ModTweaker","common","candidate","Forge","1.12.2","CurseForge","modtweaker-*.jar","CraftTweaker integrations for modded machines; add only when needed"
"Chisel","common","optional","Forge","1.12.2","CurseForge/Modrinth","Chisel-MC1.12.2-*.jar","Building/decorative mod from Techmadness-style packs"
"OpenComputers","common","candidate","Forge","1.12.2","CurseForge","OpenComputers-MC1.12.2-*.jar","Advanced automation candidate from NTM Standard Pack"
"Super Factory Manager","common","candidate","Forge","1.12.2","CurseForge","SuperFactoryManager-*.jar or SFM-*.jar","Factory automation candidate from NTM Standard Pack"
"MCHeliCE","common","optional","Forge","1.12.2","CurseForge/GitHub","mcheli-*.jar","Vehicle/combat candidate; only if server theme needs it"
"Warforge Remaintained","common","optional","Forge","1.12.2","CurseForge/GitHub","warforge-*.jar","Warfare content candidate from NTM Standard Pack; likely later phase"
"Reap","common","optional","Forge","1.12.2","CurseForge","Reap-Mod-*.jar","Harvest QoL seen in Techmadness; verify server behavior"
"IC2","common","deferred","Forge","1.12.2","CurseForge","industrialcraft-2-*.jar","Techmadness reference only; defer until HBM + Mekanism progression is stable"
"NuclearCraft","common","deferred","Forge","1.12.2","CurseForge","NuclearCraft-*.jar","Nuclear overlap with HBM; defer unless intentionally adding parallel nuclear systems"
"Draconic Evolution","common","rejected-for-now","Forge","1.12.2","CurseForge","Draconic-Evolution-*.jar","Power creep risk for small HBM server"
"Uncrafting Table","common","rejected-for-now","Forge","1.12.2","CurseForge","UncraftingTable-*.jar","Balance and dupe risk in tech packs"
